ONS Code,Area name,Mode,Purpose,Frequency,2021,2020,2019,2018,2017,2016
E92000001,England,Cycling,Any,At least once per month,13.1485851746097,16.095200000000002,16.05837967367966,16.0966,16.8774,17.1082
E92000001,England,Cycling,Any,At least once per week,9.14614089024214,11.615499999999999,11.22088211648476,11.4848,11.8555,11.903
E92000001,England,Cycling,Any,At least 3 times per week,3.94872590842314,5.3087,5.320626050823683,5.5048,5.6748,5.6702
E92000001,England,Cycling,Any,At least 5 times per week,2.14524959877609,2.9789,3.170455826308085,3.3369000000000004,3.3673,3.3718
E12000007,London,Cycling,Any,At least once per month,16.8762907558815,18.3318,17.69056651135093,17.0717,17.3157,17.4828
E12000007,London,Cycling,Any,At least once per week,11.8873600173067,13.8566,12.858526756785135,12.823100000000002,12.5848,12.8628
E12000007,London,Cycling,Any,At least 3 times per week,5.23909025606701,7.0611,7.065373938889996,7.016,6.5694,7.0232
E12000007,London,Cycling,Any,At least 5 times per week,3.1152174275038,4.1618,4.352596202516135,4.630999999999999,4.0588,4.4803999999999995
E13000001,Inner London,Cycling,Any,At least once per month,23.4867839142904,25.205899999999996,23.27509232149844,0,0,0
E13000001,Inner London,Cycling,Any,At least once per week,17.355581455379,19.7852,17.5989511426662,0,0,0
E13000001,Inner London,Cycling,Any,At least 3 times per week,7.92654477813743,10.3269,10.537857675831823,0,0,0
E13000001,Inner London,Cycling,Any,At least 5 times per week,4.70041564909821,6.2493,6.804349852335309,0,0,0
E09000007,Camden,Cycling,Any,At least once per month,22.6412280590818,22.251099999999997,18.838687301045123,20.2057,21.322499999999998,17.918400000000002
E09000007,Camden,Cycling,Any,At least once per week,17.500450245716898,15.5578,15.874769823516433,14.5493,15.3325,13.922799999999999
E09000007,Camden,Cycling,Any,At least 3 times per week,8.60714578186547,7.831799999999999,10.622261240656078,10.05,7.582,8.409600000000001
E09000007,Camden,Cycling,Any,At least 5 times per week,5.74395941120391,4.8572,6.96125090917388,6.6579,4.0996999999999995,6.3842
E09000001,City of London,Cycling,Any,At least once per month,16.4514136411911,20.493100000000002,25.734692283751198,20.3252,19.1468,29.3494
E09000001,City of London,Cycling,Any,At least once per week,13.2044955219599,15.7011,13.402090842597806,11.0923,14.5599,21.7252
E09000001,City of London,Cycling,Any,At least 3 times per week,7.66776172332468,6.772200000000001,2.6609003017183634,4.3669,6.8449,9.3797
E09000001,City of London,Cycling,Any,At least 5 times per week,5.07101712711749,2.3649,1.4983815107028988,1.4994,1.3946999999999998,3.3545
E09000012,Hackney,Cycling,Any,At least once per month,31.1638248277855,37.4197,30.80114688043024,28.268300000000004,30.545099999999998,35.937999999999995
E09000012,Hackney,Cycling,Any,At least once per week,23.4311591423038,32.5847,22.770183387730395,25.2906,25.9753,30.107499999999998
E09000012,Hackney,Cycling,Any,At least 3 times per week,10.2041739586369,16.1229,15.556700093477652,16.4569,18.5056,18.2839
E09000012,Hackney,Cycling,Any,At least 5 times per week,7.00498976056552,11.1807,11.19622214666922,12.8748,14.1636,11.860800000000001
E09000013,Hammersmith and Fulham,Cycling,Any,At least once per month,28.384961596622,28.0155,30.862481626002907,23.710700000000003,26.3793,36.9428
E09000013,Hammersmith and Fulham,Cycling,Any,At least once per week,22.543529289461,22.6817,18.35774426350554,19.797600000000003,19.328500000000002,26.7844
E09000013,Hammersmith and Fulham,Cycling,Any,At least 3 times per week,12.3348204878908,14.6592,10.95260437207836,13.269300000000001,13.4842,16.034200000000002
E09000013,Hammersmith and Fulham,Cycling,Any,At least 5 times per week,7.68429824095006,7.6095,5.899362070136598,8.397599999999999,9.149500000000002,11.3171
E09000014,Haringey,Cycling,Any,At least once per month,18.1217138965967,18.602,19.576538098379835,15.5521,18.4778,18.9236
E09000014,Haringey,Cycling,Any,At least once per week,12.0879664432183,14.2378,15.042205438572632,11.213,15.090200000000001,13.7798
E09000014,Haringey,Cycling,Any,At least 3 times per week,5.66863140322378,6.672899999999999,9.220627841512274,6.678000000000001,8.2239,9.3082
E09000014,Haringey,Cycling,Any,At least 5 times per week,3.25025957051834,3.7986,5.790843855610161,3.758,6.1756,4.5443
E09000019,Islington,Cycling,Any,At least once per month,31.6852886024356,30.527500000000003,21.117252020241043,29.7707,22.4015,26.3318
E09000019,Islington,Cycling,Any,At least once per week,23.8180096798527,24.1685,16.796514755874785,25.306,17.8312,22.7482
E09000019,Islington,Cycling,Any,At least 3 times per week,10.4149937519009,14.602799999999998,9.293631142220477,15.9878,9.3103,13.8231
E09000019,Islington,Cycling,Any,At least 5 times per week,5.27498029845636,8.5869,5.339314966354092,7.3036,5.1615,7.9247
E09000020,Kensington and Chelsea,Cycling,Any,At least once per month,22.5908632043848,21.517400000000002,15.678181053079946,20.4354,21.1767,19.7412
E09000020,Kensington and Chelsea,Cycling,Any,At least once per week,18.6503206866762,16.215,11.869343389282093,15.9884,15.6715,14.1879
E09000020,Kensington and Chelsea,Cycling,Any,At least 3 times per week,7.5237083706255,6.6112,6.402509928715061,8.3648,7.656300000000001,7.7515
E09000020,Kensington and Chelsea,Cycling,Any,At least 5 times per week,3.82506153229103,4.7659,4.029266718171113,5.7138,5.2923,4.3122
E09000022,Lambeth,Cycling,Any,At least once per month,24.5982989337191,35.489599999999996,25.467390156762015,20.749699999999997,24.1015,22.9067
E09000022,Lambeth,Cycling,Any,At least once per week,18.7950223828317,27.4194,19.10660553477364,16.7368,18.8603,16.8261
E09000022,Lambeth,Cycling,Any,At least 3 times per week,9.00379744393254,11.6095,12.035343220112898,11.1343,11.6678,9.4754
E09000022,Lambeth,Cycling,Any,At least 5 times per week,6.14656427849865,6.2972,7.140516556684114,7.7562999999999995,6.7759,5.3697
E09000023,Lewisham,Cycling,Any,At least once per month,18.034003913526,20.3079,20.130992962174368,19.697400000000002,15.948200000000002,18.4872
E09000023,Lewisham,Cycling,Any,At least once per week,13.9076168832334,15.4372,15.131053000608114,14.5272,12.7094,13.1208
E09000023,Lewisham,Cycling,Any,At least 3 times per week,7.57325829426074,8.9012,9.48546727676924,6.5041,7.9704999999999995,9.0224
E09000023,Lewisham,Cycling,Any,At least 5 times per week,3.90944398187551,5.6736,5.316683904762782,4.1981,4.5283,6.1386
E09000025,Newham,Cycling,Any,At least once per month,13.9002941912447,11.8446,17.760498099305604,14.441300000000002,15.908900000000001,12.3263
E09000025,Newham,Cycling,Any,At least once per week,9.18493885014845,8.8767,11.232887755859446,10.040000000000001,9.1791,8.372
E09000025,Newham,Cycling,Any,At least 3 times per week,3.69594283475865,2.7209,5.661137938761504,5.7006,4.151400000000001,4.3932
E09000025,Newham,Cycling,Any,At least 5 times per week,1.9612879109862,1.5561,3.9378355010379082,4.2939,3.2736,2.8198999999999996
E09000028,Southwark,Cycling,Any,At least once per month,27.4279384344846,28.1217,25.16680345021321,29.928300000000004,26.907799999999998,26.260299999999997
E09000028,Southwark,Cycling,Any,At least once per week,19.4681408730172,21.0245,21.910714580861086,25.849100000000004,20.9619,21.8414
E09000028,Southwark,Cycling,Any,At least 3 times per week,8.84190770047028,11.206000000000001,13.792385399722571,19.0636,12.986500000000001,15.6685
E09000028,Southwark,Cycling,Any,At least 5 times per week,5.72322113070891,7.985499999999999,10.192673078680476,12.9082,8.101700000000001,12.3451
E09000030,Tower Hamlets,Cycling,Any,At least once per month,18.8866029304592,21.58,22.142727564496365,20.6812,24.6615,23.7735
E09000030,Tower Hamlets,Cycling,Any,At least once per week,13.1984906143396,18.058,16.28225223638997,14.299500000000002,19.0523,16.8869
E09000030,Tower Hamlets,Cycling,Any,At least 3 times per week,5.41179209228279,10.4155,8.989140026724202,8.4899,12.521099999999999,10.847199999999999
E09000030,Tower Hamlets,Cycling,Any,At least 5 times per week,3.19408226808158,7.5605,5.302815840458324,5.3724,7.4693,9.0776
E09000032,Wandsworth,Cycling,Any,At least once per month,27.5442300241102,32.570100000000004,29.707732026955952,25.807600000000004,22.8805,26.3334
E09000032,Wandsworth,Cycling,Any,At least once per week,20.6687723056902,26.4936,23.783504118626468,22.459699999999998,17.151,19.8219
E09000032,Wandsworth,Cycling,Any,At least 3 times per week,9.66490756992637,14.475399999999999,13.56183752040824,11.1153,7.5943,10.3976
E09000032,Wandsworth,Cycling,Any,At least 5 times per week,4.30431129895989,5.7901,9.729570309943393,6.5428,3.6191,6.9091
E09000033,Westminster,Cycling,Any,At least once per month,23.5610734018183,18.2712,23.646432057640133,18.3437,22.9592,19.2041
E09000033,Westminster,Cycling,Any,At least once per week,16.1662217915134,13.446900000000001,17.872075555718926,12.4846,16.5265,13.5051
E09000033,Westminster,Cycling,Any,At least 3 times per week,5.8709196184426,8.8933,9.746009019001322,6.935099999999999,8.5607,5.3027
E09000033,Westminster,Cycling,Any,At least 5 times per week,4.04617709530314,6.3412,5.798148320422523,5.8271999999999995,5.8936,3.8032999999999997
E13000002,Outer London,Cycling,Any,At least once per month,12.2268070256509,13.492999999999999,13.770005849184955,0,0,0
E13000002,Outer London,Cycling,Any,At least once per week,8.04129195545949,9.6834,9.530559083059446,0,0,0
E13000002,Outer London,Cycling,Any,At least 3 times per week,3.34887181446607,4.7622,4.627551355220046,0,0,0
E13000002,Outer London,Cycling,Any,At least 5 times per week,2.00026984887748,2.6924,2.6313669988947574,0,0,0
E09000002,Barking and Dagenham,Cycling,Any,At least once per month,9.07683331616277,8.483,4.831190262385244,10.757,9.626999999999999,9.9117
E09000002,Barking and Dagenham,Cycling,Any,At least once per week,5.89069607776395,6.285499999999999,3.459103504414698,6.704300000000001,6.8425,7.065
E09000002,Barking and Dagenham,Cycling,Any,At least 3 times per week,2.45013084118289,3.5504000000000002,1.2023573115900557,1.8509000000000002,2.9722,2.9301
E09000002,Barking and Dagenham,Cycling,Any,At least 5 times per week,1.2262834249561,1.7795999999999998,0.4733672315726865,1.4122,1.5245,1.5046
E09000003,Barnet,Cycling,Any,At least once per month,10.8876526418029,10.2493,12.665502192503645,7.1956999999999995,11.7291,10.7089
E09000003,Barnet,Cycling,Any,At least once per week,7.46534772077499,7.0642,9.542197003824246,4.8353,8.010399999999999,7.5632
E09000003,Barnet,Cycling,Any,At least 3 times per week,3.24304349800784,4.135599999999999,6.36656748010774,2.3733,2.3602000000000003,2.5162
E09000003,Barnet,Cycling,Any,At least 5 times per week,2.01745567459557,2.7616,2.7047493521211985,2.2032,0.8978999999999999,1.5954
E09000004,Bexley,Cycling,Any,At least once per month,10.2089257964295,6.808,12.596981531874436,14.8782,13.5053,10.3489
E09000004,Bexley,Cycling,Any,At least once per week,6.73624794644329,4.7666,9.225544565240577,8.0002,8.8918,7.2677000000000005
E09000004,Bexley,Cycling,Any,At least 3 times per week,1.42136683441176,2.7775000000000003,3.975405514215706,2.1418,3.4909999999999997,1.1515
E09000004,Bexley,Cycling,Any,At least 5 times per week,0.566369843565918,2.0354,1.10833250630989,1.8873000000000002,1.6402,0.8540000000000001
E09000005,Brent,Cycling,Any,At least once per month,12.2135154680517,12.592600000000001,13.851489510931087,15.963099999999999,9.7591,11.2196
E09000005,Brent,Cycling,Any,At least once per week,8.31618444600089,9.9423,9.049942681920859,12.861,7.375800000000001,7.2109000000000005
E09000005,Brent,Cycling,Any,At least 3 times per week,3.74696705842054,6.0644,5.213199352884998,7.095400000000001,3.3333000000000004,3.2137
E09000005,Brent,Cycling,Any,At least 5 times per week,2.0375057555899,2.2697,3.5368525830433706,4.576899999999999,0.9579000000000001,2.0646
E09000006,Bromley,Cycling,Any,At least once per month,10.7062800164334,14.849599999999999,9.097070817249723,15.0202,11.6136,12.942400000000001
E09000006,Bromley,Cycling,Any,At least once per week,6.67640571485195,11.9086,5.204003879465199,10.8772,6.802,9.8662
E09000006,Bromley,Cycling,Any,At least 3 times per week,3.38739613919849,4.9861,1.8656711567503457,4.5504999999999995,2.3523,4.0167
E09000006,Bromley,Cycling,Any,At least 5 times per week,3.33620885387447,2.1294,0.7117724477179583,3.1172,1.8969,2.5291
E09000008,Croydon,Cycling,Any,At least once per month,9.95953895306735,8.5081,6.608353940308996,12.8464,9.946000000000002,10.3477
E09000008,Croydon,Cycling,Any,At least once per week,8.19759309091033,5.9095,4.162635343743617,8.039,7.6487,7.850300000000001
E09000008,Croydon,Cycling,Any,At least 3 times per week,4.50109305800759,2.9058,1.1002744493410233,5.3054,2.8973,4.6382
E09000008,Croydon,Cycling,Any,At least 5 times per week,3.05244215135511,1.4604000000000001,0.3912392010081472,3.8701,0.3321,2.6669
E09000009,Ealing,Cycling,Any,At least once per month,15.0707383141045,15.960199999999999,13.927509308210762,16.261300000000002,18.0269,16.3934
E09000009,Ealing,Cycling,Any,At least once per week,9.50799743054487,12.8884,11.095687229532485,11.7564,11.3759,10.588000000000001
E09000009,Ealing,Cycling,Any,At least 3 times per week,4.28936148333333,6.8483,4.215438733427302,6.365899999999999,5.0513,7.345699999999999
E09000009,Ealing,Cycling,Any,At least 5 times per week,2.90910964907356,4.5747,2.8493207799316416,3.152,3.0919,4.1129
E09000010,Enfield,Cycling,Any,At least once per month,10.8230230775458,10.2202,10.267195950180803,9.7216,8.9643,10.8185
E09000010,Enfield,Cycling,Any,At least once per week,5.90440169453093,7.5464,6.949237446679563,7.566599999999999,5.9656,7.4719999999999995
E09000010,Enfield,Cycling,Any,At least 3 times per week,2.62897657493164,3.3053,2.9612201423644273,3.7282,2.5417,2.9701999999999997
E09000010,Enfield,Cycling,Any,At least 5 times per week,1.3779303161785,1.6457,1.8735370488425804,3.2455,1.2272,2.2837
E09000011,Greenwich,Cycling,Any,At least once per month,12.6108669723858,13.6795,16.626382544027773,14.8046,16.9932,13.1338
E09000011,Greenwich,Cycling,Any,At least once per week,9.32650997272149,10.8258,11.699305495154762,9.1946,11.710700000000001,8.3108
E09000011,Greenwich,Cycling,Any,At least 3 times per week,3.8655478941554,4.3327,7.255896869794484,2.9548,6.9711,3.816
E09000011,Greenwich,Cycling,Any,At least 5 times per week,2.0267337546104,1.9967,6.014321017106399,1.1053,4.381,1.384
E09000015,Harrow,Cycling,Any,At least once per month,8.08827687739662,7.985100000000001,11.553801172996307,8.7066,14.1124,10.424999999999999
E09000015,Harrow,Cycling,Any,At least once per week,4.10382368718599,4.8717999999999995,7.423408423659315,4.5443999999999996,6.2497,7.6674999999999995
E09000015,Harrow,Cycling,Any,At least 3 times per week,2.1779239910519,2.5413,2.4945388351901703,2.6037999999999997,2.5316,3.5174999999999996
E09000015,Harrow,Cycling,Any,At least 5 times per week,1.50664740879308,1.5810000000000002,1.3069389228619774,1.4434,1.3614,2.0911
E09000016,Havering,Cycling,Any,At least once per month,6.66739602578354,8.6656,7.45358145530644,5.9056,11.7006,9.704500000000001
E09000016,Havering,Cycling,Any,At least once per week,3.22134688432526,6.3328999999999995,4.025038434292918,3.3929,7.1831000000000005,5.485
E09000016,Havering,Cycling,Any,At least 3 times per week,1.45225808221853,2.0594,2.031624937724012,0.5025,3.5928,1.5819
E09000016,Havering,Cycling,Any,At least 5 times per week,0.852233473463424,0.6387,1.7024917922202756,0.1688,2.1509,0.9014
E09000017,Hillingdon,Cycling,Any,At least once per month,7.08160827679054,11.006599999999999,17.04285664960358,8.7758,12.118500000000001,10.410400000000001
E09000017,Hillingdon,Cycling,Any,At least once per week,5.62816890713506,7.0602,11.511753670576384,5.2941,9.7206,6.3812999999999995
E09000017,Hillingdon,Cycling,Any,At least 3 times per week,2.60711634487202,2.0094000000000003,4.504687374400042,2.1828,3.286,3.6976
E09000017,Hillingdon,Cycling,Any,At least 5 times per week,1.92258237182415,1.4322,2.4371711153233546,1.8311000000000002,2.605,0.7593
E09000018,Hounslow,Cycling,Any,At least once per month,15.9686200748582,15.7062,15.947905146206715,19.3308,13.0878,13.3023
E09000018,Hounslow,Cycling,Any,At least once per week,11.5371307296019,9.9589,10.764631525912693,14.9439,10.2664,9.4809
E09000018,Hounslow,Cycling,Any,At least 3 times per week,5.19661919513652,4.7883000000000004,3.9896041750962605,8.5465,5.4627,3.3842
E09000018,Hounslow,Cycling,Any,At least 5 times per week,1.89816908790689,3.6824999999999997,2.5074306910461184,6.1211,3.0288,1.6889999999999998
E09000021,Kingston upon Thames,Cycling,Any,At least once per month,20.1882616358557,23.0208,24.480805822332584,23.7528,23.7734,20.8732
E09000021,Kingston upon Thames,Cycling,Any,At least once per week,10.8850017670398,14.932400000000001,16.30006984101382,19.2953,17.363799999999998,14.5347
E09000021,Kingston upon Thames,Cycling,Any,At least 3 times per week,2.87263290727739,6.8683,10.304833994254494,9.128,7.1185,8.681
E09000021,Kingston upon Thames,Cycling,Any,At least 5 times per week,1.42958999621109,3.4682999999999997,6.438515886943821,5.5477,5.7374,6.526400000000001
E09000024,Merton,Cycling,Any,At least once per month,17.3378745190899,17.8887,19.804567987501024,16.0154,17.3449,17.2198
E09000024,Merton,Cycling,Any,At least once per week,13.3307855395521,12.0977,14.66533959774342,11.3869,12.805900000000001,13.125
E09000024,Merton,Cycling,Any,At least 3 times per week,5.82334119180836,6.5682,8.25539152099532,5.434200000000001,8.3763,7.7632
E09000024,Merton,Cycling,Any,At least 5 times per week,3.49851123290673,3.7192000000000003,5.3076308518439985,3.0955,5.7203,3.9305
E09000026,Redbridge,Cycling,Any,At least once per month,8.39143660113813,10.754199999999999,9.364025287870541,8.8601,10.2042,12.9191
E09000026,Redbridge,Cycling,Any,At least once per week,4.64606971195535,6.9858,6.766403591419381,6.3998,6.2303999999999995,10.1459
E09000026,Redbridge,Cycling,Any,At least 3 times per week,0.704235204904581,2.6311999999999998,4.065015591410508,1.9985,2.0151,5.6923
E09000026,Redbridge,Cycling,Any,At least 5 times per week,0.312743441642877,1.1428,2.0256810674785806,1.8457000000000001,1.1334,3.8863000000000003
E09000027,Richmond upon Thames,Cycling,Any,At least once per month,26.7062293531384,31.6772,36.33106038912409,34.098299999999995,30.352,32.284800000000004
E09000027,Richmond upon Thames,Cycling,Any,At least once per week,18.4499506688872,23.8487,26.757007360404337,26.4849,21.7277,26.5978
E09000027,Richmond upon Thames,Cycling,Any,At least 3 times per week,6.89396413888699,14.2704,12.49299512405042,13.7449,10.3926,13.058900000000001
E09000027,Richmond upon Thames,Cycling,Any,At least 5 times per week,3.35230016921545,8.4303,6.791470222336117,8.8521,5.7056000000000004,7.8092999999999995
E09000029,Sutton,Cycling,Any,At least once per month,7.94176001855747,14.7673,12.235117032892942,10.814400000000001,8.3818,15.964999999999998
E09000029,Sutton,Cycling,Any,At least once per week,5.19448069416879,11.3841,7.35995239937886,6.6542,5.7347,8.8065
E09000029,Sutton,Cycling,Any,At least 3 times per week,2.48836140174148,5.4308000000000005,3.297645888794066,0.6905,2.4577,3.5759
E09000029,Sutton,Cycling,Any,At least 5 times per week,0.929393685795094,2.2382,2.6838438789240704,0.4626,1.7475,2.0631
E09000031,Waltham Forest,Cycling,Any,At least once per month,19.8157885263455,24.3019,20.067281035326705,16.0304,19.7543,18.947
E09000031,Waltham Forest,Cycling,Any,At least once per week,11.9582844382156,16.3136,14.263477889233847,12.2266,14.909500000000001,14.3727
E09000031,Waltham Forest,Cycling,Any,At least 3 times per week,4.25053158045303,8.4801,7.386123308605569,6.036,7.9902,7.3128
E09000031,Waltham Forest,Cycling,Any,At least 5 times per week,2.92194238566741,6.3852,2.585095148890297,3.1702,6.2266,4.7411
E92000001,England,Cycling,Leisure,At least once per month,9.89241469361458,13.3633,13.056124282725914,13.0332,13.5722,13.8797
E92000001,England,Cycling,Leisure,At least once per week,5.99348870286585,8.5209,7.553389418098997,7.7177,7.9971,8.0249
